"amostra";"Au";"Pd";"Pt";"Ag";"Al";"As";"B";"Ba";"Be";"Bi";"Ca";"Cd";"Ce";"Co";"Cr";"Cs";"Cu";"Fe";"Ga";"Ge";"Hf";"Hg";"In";"K";"La";"Li";"Lu";"Mg";"Mn";"Mo";"Na";"Nb";"Ni";"P";"Pb";"Rb";"Re";"S";"Sb";"Sc";"Se";"Sn";"Sr";"Ta";"Tb";"Te";"Th";"Ti";"Tl";"U";"V";"W";"Y";"Yb";"Zn";"Zr";"boletim"
"ICP540";"-10";"-10";"-10";"0,01";"1,76";"6";"-10";"407";"1";"0,1";"0,46";"0,07";"48,67";"23,9";"125";"0,97";"26,5";"3,67";"5,9";"-0,1";"0,16";"0,03";"0,03";"0,16";"25";"14";"0,11";"0,53";"1250";"0,22";"0,03";"0,55";"57,3";"343";"12,6";"11,2";"-0,1";"-0,01";"0,52";"7,5";"-1";"0,6";"53,5";"-0,05";"0,47";"-0,05";"3,3";"0,03";"0,07";"0,85";"61";"-0,1";"10,9";"0,8";"59";"6,5";"GQ2003731"
"ICP541";"-9999";"-9999";"-9999";"-0,01";"1,33";"5";"-10";"280";"1,2";"0,12";"0,43";"0,06";"59,84";"14,5";"43";"0,51";"17,8";"3,63";"4,5";"-0,1";"0,16";"-0,01";"0,02";"0,13";"32,6";"14";"0,12";"0,38";"871";"0,3";"0,03";"1,25";"21,6";"877";"14,6";"9,3";"-0,1";"-0,01";"0,28";"4,7";"-1";"0,6";"42,2";"-0,05";"0,58";"-0,05";"3,6";"0,06";"0,06";"0,73";"55";"0,1";"13,79";"0,9";"53";"6,2";"GQ2003731"
"ICP542";"-9999";"-9999";"-9999";"-0,01";"0,72";"-1";"-10";"148";"0,5";"0,04";"0,18";"0,04";"142,3";"6,1";"21";"0,41";"10,6";"1,98";"2,1";"-0,1";"0,05";"-0,01";"-0,02";"0,11";"71,4";"4";"0,08";"0,16";"399";"0,29";"0,04";"1,32";"7,4";"472";"7,9";"9,5";"-0,1";"-0,01";"-0,05";"1,8";"-1";"0,3";"24,9";"-0,05";"0,71";"-0,05";"13,2";"0,08";"0,06";"1,13";"34";"-0,1";"11,05";"0,6";"31";"1,1";"GQ2003731"
"ICP543";"-9999";"-9999";"-9999";"-0,01";"0,74";"1";"-10";"179";"0,6";"0,04";"0,18";"0,07";"55,59";"7,5";"23";"0,58";"11";"1,88";"2,9";"-0,1";"0,05";"-0,01";"-0,02";"0,12";"30,2";"5";"0,07";"0,2";"414";"0,27";"0,03";"0,98";"10,1";"528";"9";"10,6";"-0,1";"-0,01";"0,06";"1,7";"-1";"-0,3";"19,8";"-0,05";"0,39";"-0,05";"4,5";"0,03";"0,06";"0,65";"28";"-0,1";"7,99";"0,5";"43";"1,8";"GQ2003731"
"ICP544";"-9999";"-9999";"-9999";"-0,01";"1,37";"1";"-10";"222";"0,8";"0,05";"0,63";"0,09";"75,09";"18,6";"40";"0,59";"13,6";"3,85";"5,1";"-0,1";"0,08";"-0,01";"-0,02";"0,12";"39,9";"10";"0,12";"0,52";"543";"0,33";"0,05";"1,24";"19,5";"1832";"12,3";"11,1";"-0,1";"-0,01";"0,05";"4,3";"-1";"0,4";"61,8";"-0,05";"0,61";"-0,05";"5";"0,11";"0,07";"0,69";"90";"-0,1";"13,13";"0,9";"55";"2,1";"GQ2003731"
"ICP545";"-9999";"-9999";"-9999";"-0,01";"0,97";"3";"-10";"168";"0,8";"0,08";"0,72";"0,06";"73,31";"12,8";"49";"0,54";"9";"3,13";"3,8";"-0,1";"0,18";"-0,01";"-0,02";"0,08";"36,4";"11";"0,15";"0,36";"661";"0,3";"0,03";"1,51";"16,7";"2473";"10,8";"7,6";"-0,1";"-0,01";"0,13";"3,3";"-1";"0,6";"49,7";"-0,05";"0,67";"-0,05";"6,1";"0,16";"0,05";"0,74";"81";"0,2";"16,55";"1,1";"53";"7,5";"GQ2003731"
"ICP546";"-9999";"-9999";"-9999";"0,94";"0,61";"2";"11";"94";"0,6";"0,08";"0,22";"0,1";"46,64";"9,2";"34";"0,53";"11,5";"1,8";"2,6";"-0,1";"0,07";"-0,01";"-0,02";"0,1";"22,3";"6";"0,08";"0,23";"434";"0,3";"0,03";"1,12";"14,5";"557";"10,8";"9";"-0,1";"-0,01";"0,09";"2,1";"-1";"0,4";"18,3";"-0,05";"0,31";"-0,05";"5,5";"0,06";"0,07";"0,5";"29";"0,1";"7,49";"0,6";"33";"2,7";"GQ2003731"
"ICP547";"-10";"-10";"-10";"-0,01";"0,86";"5";"-10";"132";"0,6";"0,08";"0,22";"0,06";"35,67";"14,4";"49";"0,57";"14,5";"3,21";"3,4";"-0,1";"0,06";"-0,01";"-0,02";"0,09";"18,6";"7";"0,1";"0,22";"686";"0,43";"0,02";"0,82";"20,4";"307";"8,6";"8,2";"-0,1";"-0,01";"0,3";"3,9";"-1";"0,3";"24";"-0,05";"0,36";"-0,05";"3,3";"0,06";"0,05";"0,64";"59";"-0,1";"8,5";"0,7";"39";"2,1";"GQ2003731"
"ICP548";"-9999";"-9999";"-9999";"-0,01";"1,05";"4";"11";"149";"1,2";"0,12";"0,32";"0,15";"81,58";"20,3";"57";"0,64";"10";"3,78";"4,6";"-0,1";"0,15";"-0,01";"0,02";"0,1";"44,9";"11";"0,19";"0,34";"995";"0,51";"0,04";"1,32";"24,1";"711";"17,7";"11,4";"-0,1";"0,01";"0,18";"4";"-1";"0,7";"29";"-0,05";"0,71";"-0,05";"23,5";"0,08";"0,08";"1,19";"72";"0,2";"18,44";"1,3";"51";"6,5";"GQ2003731"
"ICP549";"-10";"-10";"-10";"-0,01";"1,46";"10";"-10";"421";"1,1";"0,1";"0,44";"0,09";"74,89";"46,2";"98";"0,85";"22,4";"4,11";"5,2";"-0,1";"0,16";"0,02";"0,02";"0,16";"30,8";"10";"0,1";"0,64";"2309";"0,5";"0,05";"1,04";"64,3";"577";"14,8";"10,8";"-0,1";"-0,01";"0,65";"5,7";"-1";"0,7";"51";"-0,05";"0,49";"-0,05";"4";"0,07";"0,08";"1,05";"76";"0,2";"10,41";"0,7";"48";"6,8";"GQ2003731"
