"amostra";"cod_am";"classe_am";"Peso_bruto";"Peso_inicial";"X.80.";"X.80._P";"X.80..1";"X.80._P.1";"Au";"Pd";"Pt";"Ag";"Al";"As";"B";"Ba";"Be";"Bi";"Ca";"Cd";"Ce";"Co";"Cr";"Cs";"Cu";"Fe";"Ga";"Ge";"Hf";"Hg";"In";"K";"La";"Li";"Lu";"Mg";"Mn";"Mo";"Na";"Nb";"Ni";"P";"Pb";"Rb";"Re";"S";"Sb";"Sc";"Se";"Sn";"Sr";"Ta";"Tb";"Te";"Th";"Ti";"Tl";"U";"V";"W";"Y";"Yb";"Zn";"Zr";"boletim"
"ICP583";"";"REP";"--";"--";"--";"--";"--";"--";"--";"--";"--";"-0,01";"1,71";"5";"-10";"224";"1,1";"0,08";"0,42";"0,11";"67,17";"29,1";"98";"0,71";"14,3";"4,09";"7,1";"-0,1";"0,13";"-0,01";"0,03";"0,12";"35,9";"18";"0,14";"0,94";"1227";"0,35";"0,02";"1,49";"66,9";"753";"16,5";"11,2";"-0,1";"-0,01";"0,21";"5,7";"-1";"0,7";"61,5";"-0,05";"0,58";"-0,05";"4,1";"0,12";"0,07";"0,91";"74";"0,1";"14,48";"1";"62";"5,4";"GQ2003731"
"ICP627";"";"REP";"--";"--";"--";"--";"--";"--";"--";"--";"--";"0,03";"0,47";"2";"-10";"122";"0,5";"0,1";"0,09";"0,04";"24,2";"5,5";"19";"0,61";"4,9";"2,21";"1,7";"-0,1";"0,09";"-0,01";"-0,02";"0,11";"11";"5";"0,05";"0,11";"325";"0,47";"0,03";"0,53";"7,2";"267";"8,2";"6,9";"-0,1";"-0,01";"0,21";"1,3";"-1";"0,7";"9,3";"-0,05";"0,22";"-0,05";"3,7";"0,03";"0,05";"0,55";"31";"0,1";"4,72";"0,4";"18";"6,1";"GQ2003733"
"ICP671";"";"REP";"--";"--";"--";"--";"--";"--";"--";"--";"--";"-0,01";"2,54";"14";"-10";"200";"0,9";"0,12";"0,41";"0,49";"41,46";"43";"81";"1,28";"69,1";"6,68";"8,4";"-0,1";"0,18";"-0,01";"0,04";"0,17";"17,6";"24";"0,13";"0,82";"1116";"0,64";"0,02";"1,05";"44,8";"609";"48,9";"22";"-0,1";"-0,01";"0,32";"10,4";"-1";"0,7";"14,1";"-0,05";"0,47";"-0,05";"3,6";"0,12";"0,17";"0,49";"133";"0,1";"11,6";"0,9";"156";"5,5";"GQ2003734"
"ICP715";"";"REP";"--";"--";"--";"--";"--";"--";"--";"--";"--";"-0,01";"1,01";"6";"-10";"195";"0,9";"0,14";"0,2";"0,05";"55,34";"14,4";"51";"0,86";"8,8";"2,38";"3,1";"-0,1";"0,13";"-0,01";"-0,02";"0,17";"21,1";"15";"0,09";"0,34";"1005";"0,51";"0,04";"0,67";"25,2";"268";"17,3";"12,9";"-0,1";"-0,01";"0,36";"2,3";"-1";"0,7";"14,4";"-0,05";"0,37";"-0,05";"4";"0,04";"0,1";"0,77";"37";"0,2";"9,05";"0,7";"38";"6,5";"GQ2003735"
"ICP752";"";"REP";"--";"--";"--";"--";"--";"--";"--";"--";"--";"0,04";"0,37";"1";"-10";"63";"0,5";"0,08";"0,05";"0,01";"27,46";"2,4";"19";"0,69";"4,6";"1,16";"1,3";"-0,1";"0,05";"-0,01";"-0,02";"0,11";"12,8";"3";"0,04";"0,06";"381";"0,36";"0,02";"0,6";"7,1";"111";"10,9";"8,8";"-0,1";"-0,01";"0,13";"0,7";"-1";"0,5";"6,8";"-0,05";"0,19";"-0,05";"5";"0,01";"0,06";"0,51";"12";"0,1";"3,61";"0,3";"13";"2,8";"GQ2003736"
"BRANCO_PREP";"";"BRANCO_PREP";NA;NA;NA;NA;NA;NA;"-10";"-10";"-10";"-0,01";"-0,01";"-1";"-10";"-5";"-0,1";"-0,02";"-0,01";"-0,01";"0,17";"0,2";"5";"-0,05";"-0,5";"0,61";"0,2";"-0,1";"-0,05";"-0,01";"-0,02";"-0,01";"0,1";"-1";"-0,01";"-0,01";"84";"0,41";"-0,01";"0,12";"0,8";"-50";"0,8";"-0,2";"-0,1";"-0,01";"-0,05";"-0,1";"-1";"-0,3";"-0,5";"-0,05";"-0,02";"-0,05";"0,1";"-0,01";"-0,02";"-0,05";"-1";"-0,1";"-0,05";"-0,1";"-1";"-0,5";"GQ2003731"
"BRANCO_PREP";"";"BRANCO_PREP";NA;NA;NA;NA;NA;NA;"-10";"-10";"-10";"0,03";"-0,01";"-1";"-10";"-5";"-0,1";"-0,02";"-0,01";"-0,01";"0,17";"0,2";"6";"-0,05";"-0,5";"0,58";"0,3";"-0,1";"-0,05";"-0,01";"-0,02";"-0,01";"-0,1";"-1";"-0,01";"-0,01";"90";"0,43";"-0,01";"0,1";"1,4";"-50";"1";"-0,2";"-0,1";"-0,01";"-0,05";"-0,1";"-1";"-0,3";"-0,5";"-0,05";"-0,02";"-0,05";"0,1";"-0,01";"-0,02";"-0,05";"-1";"-0,1";"-0,05";"-0,1";"-1";"-0,5";"GQ2003731"
"BRANCO_PREP";"";"BRANCO_PREP";NA;NA;NA;NA;NA;NA;"-10";"-10";"-10";"0,03";"-0,01";"-1";"-10";"-5";"-0,1";"-0,02";"-0,01";"-0,01";"0,16";"0,2";"5";"-0,05";"-0,5";"0,66";"0,3";"-0,1";"-0,05";"-0,01";"-0,02";"-0,01";"-0,1";"-1";"-0,01";"-0,01";"90";"0,39";"-0,01";"0,08";"1,8";"-50";"0,9";"-0,2";"-0,1";"-0,01";"-0,05";"0,1";"-1";"-0,3";"-0,5";"-0,05";"-0,02";"-0,05";"0,1";"-0,01";"-0,02";"-0,05";"-1";"-0,1";"-0,05";"-0,1";"-1";"-0,5";"GQ2003733"
"BRANCO_PREP";"";"BRANCO_PREP";NA;NA;NA;NA;NA;NA;"-10";"-10";"-10";"0,03";"-0,01";"-1";"-10";"-5";"-0,1";"-0,02";"-0,01";"-0,01";"0,18";"0,2";"5";"-0,05";"3,5";"0,58";"0,2";"-0,1";"-0,05";"-0,01";"-0,02";"-0,01";"0,1";"-1";"-0,01";"-0,01";"80";"0,37";"-0,01";"0,1";"0,7";"-50";"1,5";"-0,2";"-0,1";"-0,01";"-0,05";"-0,1";"-1";"0,5";"-0,5";"-0,05";"-0,02";"-0,05";"0,3";"-0,01";"-0,02";"-0,05";"-1";"-0,1";"-0,05";"-0,1";"3";"-0,5";"GQ2003733"
"BRANCO_PREP";"";"BRANCO_PREP";NA;NA;NA;NA;NA;NA;"-10";"-10";"-10";"0,02";"-0,01";"-1";"-10";"-5";"-0,1";"-0,02";"-0,01";"-0,01";"0,64";"0,5";"8";"-0,05";"1,8";"0,81";"0,3";"-0,1";"-0,05";"-0,01";"-0,02";"-0,01";"0,3";"-1";"-0,01";"-0,01";"219";"1,35";"-0,01";"0,38";"5,4";"-50";"-0,2";"-0,2";"-0,1";"-0,01";"0,08";"-0,1";"-1";"-0,3";"3,7";"-0,05";"-0,02";"-0,05";"0,2";"-0,01";"-0,02";"-0,05";"-1";"0,2";"0,06";"-0,1";"-1";"0,7";"GQ2003734"
"BRANCO_PREP";"";"BRANCO_PREP";NA;NA;NA;NA;NA;NA;"-10";"-10";"-10";"-0,01";"-0,01";"-1";"-10";"-5";"-0,1";"-0,02";"-0,01";"-0,01";"0,69";"0,2";"6";"-0,05";"1";"0,7";"0,2";"-0,1";"-0,05";"-0,01";"-0,02";"-0,01";"0,3";"-1";"-0,01";"-0,01";"98";"0,39";"-0,01";"0,23";"1,5";"-50";"-0,2";"-0,2";"-0,1";"-0,01";"-0,05";"0,1";"-1";"-0,3";"2,8";"-0,05";"-0,02";"-0,05";"0,2";"-0,01";"-0,02";"-0,05";"-1";"0,1";"0,08";"-0,1";"1";"0,6";"GQ2003734"
"BRANCO_PREP";"";"BRANCO_PREP";NA;NA;NA;NA;NA;NA;"-10";"-10";"-10";"-0,01";"-0,01";"-1";"-10";"-5";"-0,1";"-0,02";"-0,01";"-0,01";"0,13";"0,2";"6";"-0,05";"1,3";"0,77";"0,1";"-0,1";"0,09";"-0,01";"-0,02";"-0,01";"0,2";"-1";"-0,01";"-0,01";"107";"0,41";"-0,01";"0,27";"2,6";"-50";"-0,2";"0,2";"-0,1";"-0,01";"0,09";"0,2";"-1";"-0,3";"-0,5";"-0,05";"-0,02";"-0,05";"1,1";"-0,01";"-0,02";"-0,05";"-1";"0,1";"0,11";"-0,1";"-1";"0,8";"GQ2003735"
